id,age,gender,driving_exp_clean,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,annual_mileage,vehicle_type,speeding_violations,duis,past_accidents,outcome
786670,0,0,0-9,none,poverty,0.3244394102145492,1.0,before 2015,0.0,0,15000.0,sedan,0,0,0,1.0
103367,2,1,20-29,none,middle class,0.5972652576753138,1.0,before 2015,1.0,1,13000.0,sedan,4,1,2,0.0
959773,0,0,0-9,none,poverty,0.3465845850840072,1.0,before 2015,1.0,1,10000.0,sedan,0,0,0,0.0
867300,3,1,0-9,university,upper class,0.5183450827189473,1.0,after 2015,0.0,0,11697.003206900365,sedan,0,0,0,0.0
582033,1,0,0-9,none,middle class,0.5054556403740585,1.0,after 2015,0.0,0,14000.0,sedan,0,0,0,0.0
545309,3,1,20-29,high school,upper class,0.5501302706237786,1.0,after 2015,1.0,1,7000.0,sports car,2,0,1,0.0
208897,1,0,10-19,high school,middle class,0.7603046768859507,1.0,before 2015,0.0,0,13000.0,sports car,0,0,0,0.0
788520,1,0,10-19,high school,upper class,0.6800632519161529,1.0,before 2015,0.0,1,12000.0,sedan,0,1,0,0.0
187532,3,1,30+,university,upper class,0.7059592418232604,1.0,before 2015,1.0,1,9000.0,sedan,2,0,4,0.0
768232,3,0,30+,university,upper class,0.7212536486635983,1.0,before 2015,1.0,1,11000.0,sedan,4,0,3,0.0
28902,1,0,0-9,high school,upper class,0.6789816549655315,1.0,before 2015,1.0,1,9000.0,sedan,0,0,0,1.0
508723,2,0,20-29,university,middle class,0.515812809602791,1.0,before 2015,0.0,1,14000.0,sedan,0,0,3,0.0
398420,1,0,10-19,university,upper class,0.6310710282783221,1.0,before 2015,0.0,1,14000.0,sedan,0,0,2,0.0
235565,1,1,10-19,university,middle class,0.5691967569514129,0.0,before 2015,1.0,1,13000.0,sedan,1,1,0,1.0
543431,2,1,0-9,university,upper class,0.4897229839220267,1.0,after 2015,1.0,1,12000.0,sedan,0,0,0,0.0
218682,1,0,10-19,none,poverty,0.4285438142554471,0.0,before 2015,0.0,1,12000.0,sedan,0,0,1,1.0
40390,1,0,10-19,high school,middle class,0.475817537772609,1.0,before 2015,1.0,1,7000.0,sedan,0,0,0,0.0
95412,2,1,20-29,high school,upper class,0.7080741498657761,1.0,after 2015,1.0,1,10000.0,sedan,1,0,4,0.0
631211,1,1,10-19,high school,upper class,0.6770907006539743,1.0,before 2015,0.0,1,12000.0,sedan,0,0,0,0.0
88259,1,0,10-19,high school,middle class,0.4312361779058995,1.0,before 2015,0.0,0,13000.0,sedan,1,0,0,1.0
874122,1,1,10-19,high school,working class,0.4255008878845209,1.0,before 2015,0.0,1,12000.0,sedan,0,0,1,0.0
645596,2,0,20-29,high school,middle class,0.4984370269017703,1.0,before 2015,1.0,1,9000.0,sedan,0,0,2,0.0
37956,1,0,10-19,high school,middle class,0.5573996021834157,1.0,before 2015,0.0,1,6000.0,sedan,1,0,0,0.0
332232,2,1,0-9,high school,middle class,0.4014535021639726,1.0,before 2015,1.0,1,13000.0,sports car,0,0,0,1.0
737043,3,0,30+,university,upper class,0.6633244171626496,1.0,before 2015,0.0,0,11697.003206900365,sedan,3,0,5,0.0
