id,age,gender,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,postal_code,annual_mileage,vehicle_type,speeding_violations,duis,past_accidents,outcome
737951,1,0,10-19y,university,working class,0.5177321441915205,0.0,before 2015,0.0,0.0,10238,,sedan,1,0,2,0.0
559448,2,0,20-29y,none,working class,,1.0,before 2015,0.0,0.0,10238,15000.0,sedan,1,0,0,0.0
713543,0,1,0-9y,high school,middle class,0.528252123724409,1.0,before 2015,0.0,0.0,10238,14000.0,sedan,0,0,0,1.0
934754,3,0,10-19y,high school,upper class,0.7246438662273011,1.0,after 2015,1.0,1.0,92101,10000.0,sedan,1,0,0,0.0
810285,1,1,10-19y,university,working class,,1.0,before 2015,0.0,1.0,10238,,sedan,0,1,1,0.0
572609,1,1,10-19y,none,poverty,0.4128149890162617,1.0,before 2015,0.0,0.0,10238,14000.0,sedan,0,0,1,0.0
596082,0,0,0-9y,university,poverty,0.2621006909187042,1.0,before 2015,0.0,1.0,92101,14000.0,sedan,0,0,0,0.0
636102,1,0,10-19y,university,middle class,0.747285655552212,0.0,after 2015,0.0,0.0,32765,17000.0,sedan,0,0,0,1.0
242772,1,0,10-19y,none,middle class,0.5036589704487734,1.0,before 2015,0.0,1.0,10238,10000.0,sedan,1,2,0,0.0
274793,3,1,30y+,university,upper class,0.5841638627422637,1.0,after 2015,1.0,1.0,10238,9000.0,sedan,10,1,3,0.0
598844,0,1,0-9y,none,upper class,0.5334138645351603,1.0,after 2015,0.0,1.0,10238,,sedan,0,0,0,0.0
62619,2,1,20-29y,university,middle class,0.4692112924855094,1.0,before 2015,1.0,1.0,10238,,sedan,3,0,5,0.0
973588,2,0,20-29y,university,upper class,0.7235892424829731,1.0,after 2015,0.0,0.0,10238,12000.0,sedan,1,0,0,0.0
248605,2,0,20-29y,none,middle class,0.5105669130007187,0.0,after 2015,0.0,1.0,10238,15000.0,sedan,1,0,1,0.0
784778,2,1,20-29y,university,upper class,0.492497095519908,1.0,before 2015,1.0,1.0,32765,12000.0,sedan,7,1,2,0.0
789131,2,0,20-29y,university,upper class,0.5757451296405501,1.0,before 2015,1.0,0.0,92101,12000.0,sedan,0,1,0,0.0
100663,1,0,10-19y,none,poverty,,0.0,before 2015,0.0,0.0,32765,11000.0,sedan,3,0,0,1.0
410008,1,0,0-9y,university,working class,0.5303445829334268,1.0,before 2015,0.0,1.0,32765,13000.0,sedan,0,0,0,1.0
670749,2,0,20-29y,high school,upper class,,1.0,after 2015,0.0,1.0,32765,8000.0,sedan,6,0,0,0.0
334556,1,1,0-9y,university,upper class,0.6391281575503801,1.0,after 2015,0.0,1.0,10238,10000.0,sedan,0,0,0,0.0
245794,3,1,20-29y,university,upper class,,1.0,after 2015,1.0,1.0,10238,,sedan,1,0,2,0.0
51511,3,0,10-19y,university,upper class,0.7725842396081845,0.0,before 2015,0.0,1.0,10238,16000.0,sedan,1,0,0,1.0
579525,2,1,20-29y,university,upper class,0.7510668440453718,1.0,before 2015,1.0,1.0,10238,9000.0,sports car,1,1,2,0.0
457638,2,0,0-9y,high school,upper class,0.6628379984244296,1.0,before 2015,0.0,0.0,10238,14000.0,sedan,0,0,0,1.0
209390,0,0,0-9y,high school,working class,0.1909109064399252,1.0,before 2015,0.0,1.0,92101,12000.0,sedan,0,0,0,0.0
320695,3,1,30y+,high school,upper class,0.7503572767842781,0.0,before 2015,0.0,1.0,32765,12000.0,sedan,6,2,1,0.0
236139,0,1,0-9y,university,poverty,0.2464803900521977,0.0,before 2015,0.0,1.0,10238,11000.0,sedan,0,0,0,1.0
345254,3,1,0-9y,university,upper class,0.8000044065279952,1.0,after 2015,1.0,1.0,10238,10000.0,sedan,0,0,0,0.0
765652,3,0,30y+,none,upper class,0.5612694270227846,1.0,before 2015,0.0,1.0,10238,15000.0,sports car,3,0,4,0.0
774402,1,1,0-9y,none,working class,0.4503293443741408,1.0,after 2015,1.0,1.0,10238,13000.0,sedan,0,0,0,0.0
811326,2,0,20-29y,high school,poverty,,1.0,before 2015,0.0,1.0,10238,15000.0,sedan,0,0,0,0.0
205785,0,1,0-9y,none,poverty,0.2771973659514941,1.0,before 2015,0.0,1.0,32765,10000.0,sedan,0,0,0,1.0
393613,1,0,10-19y,high school,working class,0.4895334733760352,1.0,before 2015,0.0,0.0,92101,13000.0,sedan,1,1,0,0.0
605381,1,1,10-19y,none,poverty,0.4626087278813787,0.0,before 2015,0.0,1.0,10238,11000.0,sedan,1,1,2,1.0
860089,1,0,10-19y,university,middle class,0.4685045607790929,1.0,before 2015,1.0,0.0,10238,14000.0,sedan,1,0,0,0.0
252367,1,1,0-9y,none,working class,0.3595385199642436,1.0,before 2015,1.0,1.0,32765,9000.0,sedan,0,0,0,0.0
777893,1,1,10-19y,high school,middle class,0.4658956886530882,1.0,after 2015,0.0,1.0,10238,,sedan,4,1,3,0.0
850028,1,1,10-19y,university,poverty,0.3406174176696211,0.0,before 2015,0.0,0.0,10238,13000.0,sedan,0,0,1,1.0
820342,2,0,20-29y,university,upper class,0.5886053024756462,1.0,after 2015,1.0,0.0,10238,11000.0,sedan,2,0,3,0.0
467378,2,1,20-29y,university,middle class,0.7009768656819415,1.0,before 2015,0.0,1.0,10238,11000.0,sedan,4,0,4,0.0
744915,1,1,10-19y,high school,upper class,0.5609217671373717,1.0,after 2015,1.0,0.0,10238,15000.0,sedan,1,1,1,0.0
863765,3,0,10-19y,university,upper class,0.5812195904222602,0.0,before 2015,1.0,1.0,32765,9000.0,sedan,4,1,0,1.0
109469,1,1,10-19y,university,upper class,0.600227475663906,0.0,after 2015,0.0,0.0,32765,9000.0,sedan,2,1,1,1.0
680896,1,1,10-19y,university,middle class,0.4252055414180356,1.0,after 2015,1.0,0.0,32765,7000.0,sedan,4,0,0,0.0
836845,2,1,10-19y,university,upper class,0.6240850982971254,0.0,after 2015,1.0,0.0,10238,,sedan,0,0,0,0.0
848667,0,0,0-9y,university,upper class,0.6035708014041429,1.0,before 2015,1.0,0.0,10238,17000.0,sedan,0,0,0,0.0
947579,1,0,0-9y,high school,middle class,0.5468239401238333,1.0,after 2015,0.0,0.0,92101,14000.0,sedan,0,0,0,0.0
732301,0,0,0-9y,none,poverty,0.3257717384502198,0.0,before 2015,0.0,0.0,32765,10000.0,sedan,0,0,0,1.0
579336,3,0,10-19y,university,upper class,0.5733880426029547,1.0,after 2015,1.0,1.0,10238,10000.0,sedan,0,0,2,0.0
392766,3,0,30y+,high school,upper class,0.708984110429289,1.0,before 2015,0.0,1.0,32765,12000.0,sedan,7,2,0,0.0
648678,0,0,0-9y,high school,poverty,0.4364738411452333,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,0.0
422097,3,1,30y+,high school,upper class,0.4964109169481421,0.0,before 2015,1.0,1.0,10238,9000.0,sports car,4,0,4,0.0
585988,1,1,0-9y,university,upper class,0.5410847412243212,1.0,before 2015,0.0,0.0,10238,14000.0,sedan,0,0,0,1.0
41747,3,0,20-29y,university,upper class,,1.0,after 2015,1.0,1.0,32765,13000.0,sedan,4,0,1,0.0
823080,0,0,0-9y,none,poverty,0.4934823530904108,1.0,before 2015,0.0,1.0,10238,,sedan,0,0,0,1.0
172920,0,0,0-9y,none,poverty,0.2821505605840015,1.0,before 2015,0.0,0.0,10238,15000.0,sedan,0,0,0,0.0
651187,1,1,10-19y,high school,working class,0.3903628896596465,1.0,before 2015,1.0,1.0,32765,12000.0,sedan,1,0,0,0.0
979569,0,0,0-9y,high school,poverty,0.2084106694189862,0.0,before 2015,0.0,1.0,32765,8000.0,sedan,0,0,0,1.0
689196,0,1,0-9y,high school,middle class,0.636867176141497,0.0,before 2015,1.0,1.0,21217,13000.0,sedan,0,0,0,1.0
353598,1,0,10-19y,high school,middle class,,1.0,before 2015,0.0,1.0,10238,11000.0,sedan,1,0,2,0.0
430557,1,0,10-19y,university,middle class,0.5409513034660882,1.0,before 2015,0.0,0.0,10238,18000.0,sedan,0,0,0,0.0
995592,1,1,10-19y,high school,working class,0.3495446627424988,1.0,before 2015,0.0,0.0,10238,14000.0,sedan,2,0,2,0.0
3526,3,1,30y+,high school,upper class,0.7280756018177765,1.0,after 2015,1.0,0.0,10238,13000.0,sedan,4,1,3,0.0
448234,2,0,20-29y,none,middle class,0.3806910508101889,1.0,before 2015,1.0,0.0,21217,14000.0,sedan,2,0,1,1.0
342908,3,0,30y+,high school,working class,,1.0,before 2015,0.0,1.0,32765,14000.0,sedan,6,4,0,0.0
243897,2,1,20-29y,none,poverty,0.3769402881848251,0.0,before 2015,0.0,1.0,92101,11000.0,sedan,2,0,1,1.0
593578,0,0,0-9y,none,poverty,0.2457399176525432,0.0,before 2015,0.0,0.0,32765,13000.0,sedan,0,0,0,1.0
1063,1,1,0-9y,none,poverty,0.4415673710068289,1.0,before 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,0.0
302978,2,0,20-29y,university,upper class,0.7073807601666705,1.0,after 2015,1.0,1.0,32765,8000.0,sedan,4,0,1,0.0
795662,1,0,10-19y,high school,poverty,0.4197341005876831,1.0,before 2015,0.0,0.0,32765,13000.0,sports car,3,0,0,1.0
381865,1,1,10-19y,university,middle class,0.6341069822933729,0.0,after 2015,0.0,0.0,32765,15000.0,sports car,4,0,2,1.0
605525,1,0,0-9y,high school,working class,0.5125749545613042,1.0,before 2015,1.0,0.0,10238,12000.0,sedan,0,0,0,1.0
891890,0,0,0-9y,none,poverty,0.3507586259917119,1.0,before 2015,1.0,1.0,10238,7000.0,sedan,0,0,0,0.0
850066,2,0,20-29y,high school,middle class,0.5561059958978236,1.0,before 2015,0.0,1.0,10238,12000.0,sedan,3,0,2,0.0
928094,2,0,20-29y,university,upper class,0.6990267248939761,1.0,before 2015,1.0,1.0,10238,10000.0,sports car,4,1,3,0.0
219595,3,0,10-19y,university,upper class,0.5576866532602021,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,1,0,0,0.0
308272,2,1,0-9y,university,upper class,0.5444952975921098,1.0,after 2015,1.0,1.0,10238,13000.0,sedan,0,0,0,1.0
144989,1,0,10-19y,university,middle class,0.4022045365697117,0.0,before 2015,1.0,1.0,10238,,sedan,1,0,0,0.0
200265,3,1,30y+,university,upper class,0.5300413823068981,1.0,before 2015,1.0,1.0,10238,9000.0,sedan,7,2,8,0.0
604407,2,0,20-29y,high school,upper class,0.4952958891181545,1.0,before 2015,0.0,0.0,32765,13000.0,sedan,3,0,0,0.0
599432,1,0,10-19y,university,upper class,0.4775235133805459,1.0,before 2015,1.0,0.0,10238,12000.0,sedan,1,0,1,0.0
386712,1,0,10-19y,high school,middle class,0.4342809975252036,1.0,before 2015,1.0,1.0,10238,11000.0,sedan,1,1,0,0.0
214421,3,1,30y+,high school,upper class,0.7188924365059262,1.0,before 2015,1.0,1.0,32765,12000.0,sedan,11,1,5,0.0
954342,2,0,0-9y,university,upper class,,1.0,before 2015,1.0,1.0,10238,13000.0,sedan,0,0,0,0.0
888155,2,0,10-19y,university,upper class,0.5448005213296326,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,1,0,1,0.0
816614,1,1,10-19y,university,upper class,0.5371008543579416,1.0,before 2015,0.0,0.0,32765,9000.0,sedan,3,1,1,0.0
773172,2,0,0-9y,high school,middle class,0.6076229002597461,1.0,before 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,0.0
860165,1,1,10-19y,none,middle class,0.5899730349102439,0.0,before 2015,0.0,1.0,10238,9000.0,sedan,1,0,0,1.0
581500,3,0,30y+,university,upper class,,0.0,after 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,0.0
967598,2,0,20-29y,none,poverty,0.4010924768506552,1.0,before 2015,0.0,0.0,92101,15000.0,sedan,0,0,1,0.0
959649,1,0,0-9y,high school,upper class,0.6331577699602148,1.0,before 2015,1.0,1.0,32765,3000.0,sedan,0,0,0,1.0
536597,1,0,10-19y,university,upper class,,1.0,after 2015,0.0,0.0,32765,11000.0,sedan,5,1,0,0.0
199886,2,0,20-29y,high school,upper class,0.6492795700696337,1.0,after 2015,1.0,1.0,32765,9000.0,sedan,4,2,0,0.0
113779,1,0,0-9y,university,upper class,0.6292322910830562,1.0,before 2015,1.0,0.0,10238,12000.0,sedan,0,0,0,0.0
690969,1,0,10-19y,university,upper class,0.8523818296709694,1.0,before 2015,0.0,0.0,32765,14000.0,sedan,0,1,0,0.0
642405,2,0,20-29y,high school,upper class,0.561554377080833,1.0,after 2015,1.0,1.0,10238,13000.0,sedan,0,0,1,0.0
161165,2,0,0-9y,university,upper class,0.6621457887543006,1.0,before 2015,1.0,1.0,10238,11000.0,sedan,0,0,0,0.0
914808,3,0,10-19y,university,upper class,0.5848934178934408,1.0,after 2015,1.0,0.0,10238,12000.0,sedan,2,0,0,0.0
894809,1,0,10-19y,high school,middle class,0.6059139584387855,1.0,before 2015,0.0,1.0,10238,,sedan,0,0,0,0.0
648666,1,0,10-19y,university,middle class,0.5289956747622162,0.0,before 2015,1.0,0.0,10238,9000.0,sedan,2,0,1,1.0
551022,2,0,20-29y,high school,working class,0.4933883976152035,1.0,before 2015,1.0,1.0,10238,,sedan,0,0,3,0.0
